i	j	fold	type
229	246	0	n
230	246	0	n
231	246	0	n
232	246	0	n
233	246	0	n
234	246	0	n
235	246	0	n
236	246	0	n
237	246	0	n
238	246	0	n
239	246	0	n
240	246	0	n
241	246	0	n
242	246	0	n
243	246	0	n
244	246	0	n
245	246	0	n
31	247	0	n
34	247	0	n
38	247	0	n
44	247	0	n
46	247	0	n
51	247	0	n
52	247	0	n
53	247	0	n
54	247	0	n
56	247	0	n
57	247	0	n
58	247	0	n
59	247	0	n
65	247	0	n
67	247	0	n
68	247	0	n
72	247	0	n
74	247	0	n
79	247	0	n
80	247	0	n
82	247	0	n
83	247	0	n
84	247	0	n
89	247	0	n
94	247	0	n
97	247	0	n
99	247	0	n
100	247	0	n
101	247	0	n
102	247	0	n
103	247	0	n
104	247	0	n
109	247	0	n
111	247	0	n
112	247	0	n
115	247	0	n
116	247	0	n
118	247	0	n
120	247	0	n
155	247	0	n
161	247	0	n
167	247	0	n
169	247	0	n
172	247	0	n
173	247	0	n
177	247	0	n
179	247	0	n
180	247	0	n
181	247	0	n
183	247	0	n
185	247	0	n
186	247	0	n
187	247	0	n
190	247	0	n
193	247	0	n
195	247	0	n
196	247	0	n
197	247	0	n
198	247	0	n
199	247	0	n
200	247	0	n
201	247	0	n
202	247	0	n
203	247	0	n
204	247	0	n
206	247	0	n
207	247	0	n
209	247	0	n
210	247	0	n
211	247	0	n
212	247	0	n
213	247	0	n
214	247	0	n
215	247	0	n
216	247	0	n
217	247	0	n
218	247	0	n
219	247	0	n
220	247	0	n
221	247	0	n
222	247	0	n
223	247	0	n
224	247	0	n
225	247	0	n
226	247	0	n
227	247	0	n
228	247	0	n
229	247	0	n
230	247	0	n
231	247	0	n
232	247	0	n
233	247	0	n
234	247	0	n
235	247	0	n
236	247	0	n
237	247	0	n
238	247	0	n
239	247	0	n
240	247	0	n
241	247	0	n
242	247	0	n
243	247	0	n
244	247	0	n
245	247	0	n
246	247	0	n
26	248	0	n
35	248	0	n
37	248	0	n
55	248	0	n
57	248	0	n
58	248	0	n
59	248	0	n
60	248	0	n
62	248	0	n
63	248	0	n
65	248	0	n
66	248	0	n
70	248	0	n
80	248	0	n
86	248	0	n
89	248	0	n
90	248	0	n
94	248	0	n
95	248	0	n
96	248	0	n
97	248	0	n
102	248	0	n
103	248	0	n
106	248	0	n
109	248	0	n
110	248	0	n
112	248	0	n
113	248	0	n
114	248	0	n
115	248	0	n
116	248	0	n
117	248	0	n
118	248	0	n
119	248	0	n
120	248	0	n
128	248	0	n
130	248	0	n
153	248	0	n
167	248	0	n
168	248	0	n
170	248	0	n
171	248	0	n
172	248	0	n
173	248	0	n
174	248	0	n
177	248	0	n
178	248	0	n
179	248	0	n
180	248	0	n
181	248	0	n
184	248	0	n
185	248	0	n
186	248	0	n
187	248	0	n
188	248	0	n
191	248	0	n
193	248	0	n
195	248	0	n
196	248	0	n
197	248	0	n
198	248	0	n
199	248	0	n
200	248	0	n
201	248	0	n
202	248	0	n
203	248	0	n
204	248	0	n
205	248	0	n
206	248	0	n
207	248	0	n
208	248	0	n
209	248	0	n
210	248	0	n
211	248	0	n
212	248	0	n
213	248	0	n
214	248	0	n
215	248	0	n
216	248	0	n
217	248	0	n
218	248	0	n
219	248	0	n
220	248	0	n
221	248	0	n
222	248	0	n
223	248	0	n
224	248	0	n
225	248	0	n
226	248	0	n
227	248	0	n
228	248	0	n
229	248	0	n
230	248	1	down
231	248	0	n
232	248	0	n
233	248	0	n
234	248	0	n
235	248	0	n
236	248	0	n
237	248	0	n
238	248	0	n
239	248	0	n
240	248	0	n
241	248	0	n
242	248	0	n
243	248	0	n
244	248	0	n
245	248	0	n
246	248	0	n
247	248	0	n
26	249	0	n
32	249	0	n
33	249	0	n
34	249	0	n
35	249	0	n
37	249	0	n
38	249	0	n
44	249	0	n
47	249	0	n
48	249	0	n
49	249	0	n
51	249	0	n
54	249	0	n
59	249	0	n
60	249	0	n
63	249	0	n
65	249	0	n
66	249	0	n
67	249	0	n
68	249	0	n
69	249	0	n
77	249	0	n
78	249	0	n
79	249	0	n
86	249	0	n
89	249	0	n
97	249	0	n
100	249	0	n
102	249	0	n
105	249	0	n
108	249	0	n
109	249	0	n
112	249	0	n
113	249	0	n
115	249	0	n
117	249	0	n
118	249	0	n
128	249	0	n
167	249	0	n
168	249	0	n
169	249	0	n
170	249	0	n
171	249	0	n
172	249	0	n
174	249	0	n
175	249	0	n
176	249	0	n
177	249	0	n
178	249	0	n
180	249	0	n
181	249	0	n
182	249	0	n
183	249	0	n
184	249	0	n
185	249	0	n
187	249	0	n
188	249	0	n
189	249	0	n
190	249	0	n
191	249	0	n
192	249	0	n
193	249	0	n
195	249	0	n
196	249	0	n
197	249	0	n
198	249	0	n
199	249	0	n
200	249	0	n
201	249	0	n
202	249	0	n
203	249	0	n
204	249	0	n
205	249	0	n
206	249	0	n
207	249	0	n
208	249	0	n
209	249	0	n
210	249	0	n
211	249	0	n
212	249	0	n
213	249	1	down
215	249	0	n
216	249	0	n
217	249	0	n
218	249	0	n
219	249	0	n
220	249	0	n
221	249	0	n
222	249	0	n
223	249	0	n
224	249	0	n
225	249	0	n
226	249	0	n
227	249	0	n
228	249	0	n
229	249	0	n
230	249	0	n
231	249	0	n
232	249	0	n
233	249	0	n
234	249	0	n
235	249	0	n
236	249	0	n
237	249	0	n
238	249	0	n
239	249	0	n
240	249	0	n
241	249	0	n
242	249	0	n
243	249	0	n
244	249	1	up
245	249	0	n
246	249	0	n
247	249	0	n
248	249	0	n
22	250	0	n
26	250	0	n
28	250	0	n
31	250	0	n
33	250	0	n
35	250	0	n
36	250	0	n
37	250	0	n
41	250	0	n
42	250	0	n
46	250	0	n
47	250	0	n
49	250	0	n
51	250	0	n
52	250	0	n
55	250	0	n
66	250	0	n
70	250	0	n
71	250	0	n
72	250	0	n
76	250	0	n
79	250	0	n
85	250	0	n
87	250	0	n
90	250	0	n
91	250	0	n
95	250	0	n
96	250	0	n
97	250	0	n
100	250	0	n
101	250	0	n
102	250	0	n
107	250	0	n
108	250	0	n
109	250	0	n
112	250	0	n
113	250	0	n
116	250	0	n
117	250	0	n
166	250	0	n
168	250	0	n
169	250	0	n
170	250	0	n
171	250	0	n
172	250	0	n
173	250	0	n
176	250	0	n
177	250	0	n
178	250	0	n
179	250	0	n
180	250	0	n
181	250	0	n
182	250	0	n
184	250	0	n
185	250	0	n
188	250	0	n
189	250	0	n
190	250	0	n
191	250	0	n
192	250	0	n
195	250	0	n
196	250	0	n
197	250	0	n
198	250	0	n
199	250	0	n
200	250	0	n
201	250	0	n
202	250	0	n
203	250	0	n
204	250	0	n
205	250	0	n
207	250	0	n
208	250	0	n
209	250	0	n
210	250	0	n
211	250	0	n
212	250	0	n
213	250	0	n
214	250	0	n
215	250	0	n
216	250	0	n
217	250	0	n
218	250	0	n
220	250	0	n
221	250	0	n
222	250	0	n
223	250	0	n
224	250	0	n
225	250	0	n
226	250	0	n
227	250	0	n
228	250	0	n
229	250	0	n
230	250	0	n
231	250	0	n
232	250	0	n
233	250	0	n
234	250	0	n
235	250	0	n
236	250	0	n
237	250	0	n
238	250	0	n
239	250	0	n
240	250	0	n
241	250	0	n
242	250	0	n
243	250	0	n
244	250	0	n
245	250	0	n
246	250	0	n
247	250	0	n
248	250	0	n
249	250	0	n
28	251	0	n
37	251	0	n
38	251	0	n
50	251	0	n
52	251	0	n
53	251	0	n
55	251	0	n
57	251	0	n
58	251	0	n
59	251	0	n
62	251	0	n
68	251	0	n
70	251	0	n
72	251	0	n
75	251	0	n
77	251	0	n
78	251	0	n
81	251	0	n
82	251	0	n
83	251	0	n
84	251	0	n
85	251	0	n
86	251	0	n
92	251	0	n
94	251	0	n
95	251	0	n
96	251	0	n
99	251	0	n
100	251	0	n
102	251	0	n
104	251	0	n
112	251	0	n
113	251	0	n
115	251	0	n
126	251	0	n
167	251	0	n
168	251	0	n
169	251	0	n
171	251	0	n
172	251	0	n
173	251	0	n
174	251	0	n
175	251	0	n
176	251	0	n
177	251	0	n
178	251	0	n
179	251	0	n
180	251	0	n
181	251	0	n
182	251	0	n
183	251	0	n
185	251	0	n
186	251	0	n
187	251	0	n
190	251	0	n
191	251	0	n
192	251	0	n
193	251	0	n
194	251	0	n
195	251	0	n
197	251	0	n
198	251	0	n
199	251	0	n
200	251	0	n
201	251	0	n
202	251	0	n
203	251	0	n
204	251	0	n
205	251	0	n
206	251	0	n
207	251	0	n
208	251	0	n
209	251	0	n
210	251	0	n
211	251	0	n
212	251	0	n
213	251	0	n
214	251	0	n
215	251	0	n
216	251	0	n
217	251	0	n
218	251	0	n
219	251	0	n
220	251	0	n
221	251	0	n
222	251	0	n
223	251	0	n
224	251	0	n
225	251	0	n
226	251	0	n
227	251	0	n
228	251	0	n
229	251	0	n
230	251	0	n
231	251	0	n
232	251	0	n
233	251	0	n
234	251	0	n
235	251	0	n
236	251	0	n
237	251	0	n
238	251	0	n
239	251	0	n
240	251	0	n
241	251	0	n
242	251	0	n
243	251	0	n
244	251	0	n
245	251	0	n
246	251	0	n
247	251	0	n
248	251	0	n
249	251	0	n
250	251	0	n
17	252	0	n
29	252	0	n
30	252	0	n
34	252	0	n
35	252	0	n
36	252	0	n
37	252	0	n
38	252	0	n
40	252	0	n
48	252	0	n
53	252	0	n
60	252	0	n
63	252	0	n
66	252	0	n
68	252	0	n
73	252	0	n
75	252	0	n
77	252	0	n
78	252	0	n
79	252	0	n
81	252	0	n
82	252	0	n
84	252	0	n
85	252	0	n
87	252	0	n
88	252	0	n
89	252	0	n
90	252	0	n
91	252	0	n
93	252	0	n
94	252	0	n
95	252	0	n
96	252	0	n
98	252	0	n
99	252	0	n
100	252	0	n
105	252	0	n
106	252	0	n
111	252	0	n
113	252	0	n
114	252	0	n
118	252	0	n
119	252	0	n
120	252	0	n
154	252	0	n
158	252	0	n
167	252	0	n
169	252	0	n
171	252	0	n
172	252	0	n
173	252	0	n
174	252	0	n
176	252	0	n
178	252	0	n
179	252	0	n
180	252	0	n
181	252	0	n
182	252	0	n
183	252	0	n
184	252	0	n
186	252	0	n
189	252	0	n
190	252	0	n
191	252	0	n
192	252	0	n
194	252	0	n
195	252	0	n
196	252	0	n
197	252	0	n
198	252	0	n
199	252	0	n
200	252	0	n
201	252	0	n
202	252	0	n
203	252	0	n
204	252	0	n
205	252	0	n
206	252	0	n
207	252	0	n
208	252	0	n
209	252	0	n
210	252	0	n
211	252	0	n
212	252	0	n
213	252	0	n
214	252	0	n
215	252	0	n
216	252	0	n
217	252	0	n
218	252	0	n
219	252	0	n
220	252	0	n
221	252	0	n
222	252	0	n
223	252	0	n
224	252	0	n
225	252	0	n
226	252	0	n
227	252	0	n
228	252	0	n
229	252	0	n
230	252	0	n
231	252	0	n
232	252	0	n
233	252	0	n
234	252	0	n
235	252	0	n
236	252	0	n
237	252	0	n
238	252	0	n
239	252	0	n
240	252	0	n
241	252	0	n
242	252	0	n
243	252	0	n
244	252	0	n
245	252	0	n
246	252	0	n
247	252	0	n
248	252	0	n
249	252	0	n
250	252	0	n
251	252	0	n
22	253	0	n
24	253	0	n
25	253	0	n
26	253	0	n
29	253	0	n
31	253	0	n
36	253	0	n
37	253	0	n
38	253	0	n
40	253	0	n
43	253	0	n
53	253	0	n
55	253	0	n
56	253	0	n
57	253	0	n
60	253	0	n
61	253	0	n
62	253	0	n
63	253	0	n
64	253	0	n
65	253	0	n
66	253	0	n
72	253	0	n
76	253	0	n
78	253	0	n
79	253	0	n
83	253	0	n
84	253	0	n
85	253	0	n
86	253	0	n
87	253	0	n
88	253	0	n
89	253	0	n
90	253	0	n
91	253	0	n
94	253	0	n
95	253	0	n
97	253	0	n
98	253	0	n
102	253	0	n
105	253	0	n
108	253	0	n
109	253	0	n
113	253	0	n
114	253	0	n
115	253	0	n
117	253	0	n
167	253	0	n
168	253	0	n
169	253	0	n
170	253	0	n
172	253	0	n
173	253	0	n
174	253	0	n
178	253	0	n
179	253	0	n
180	253	0	n
181	253	0	n
183	253	0	n
184	253	0	n
189	253	0	n
190	253	0	n
192	253	0	n
193	253	0	n
194	253	0	n
195	253	0	n
197	253	0	n
198	253	0	n
199	253	0	n
200	253	0	n
201	253	0	n
202	253	0	n
203	253	0	n
204	253	0	n
206	253	0	n
207	253	0	n
208	253	0	n
209	253	0	n
210	253	0	n
211	253	0	n
212	253	0	n
213	253	0	n
214	253	0	n
215	253	0	n
216	253	0	n
217	253	0	n
218	253	0	n
219	253	0	n
220	253	0	n
222	253	0	n
223	253	0	n
224	253	0	n
225	253	0	n
226	253	0	n
227	253	0	n
228	253	0	n
229	253	0	n
230	253	0	n
231	253	0	n
232	253	0	n
233	253	0	n
234	253	0	n
235	253	0	n
236	253	0	n
237	253	0	n
238	253	0	n
239	253	0	n
240	253	0	n
241	253	0	n
242	253	0	n
243	253	1	down
244	253	0	n
245	253	0	n
246	253	0	n
247	253	0	n
248	253	0	n
249	253	0	n
250	253	0	n
251	253	0	n
252	253	0	n
26	254	0	n
27	254	0	n
28	254	0	n
29	254	0	n
30	254	0	n
31	254	0	n
32	254	0	n
34	254	0	n
37	254	0	n
39	254	0	n
47	254	0	n
48	254	0	n
49	254	0	n
52	254	0	n
55	254	0	n
62	254	0	n
63	254	0	n
68	254	0	n
71	254	0	n
72	254	0	n
77	254	0	n
78	254	0	n
79	254	0	n
82	254	0	n
83	254	0	n
84	254	0	n
85	254	0	n
86	254	0	n
88	254	0	n
89	254	0	n
91	254	0	n
92	254	0	n
93	254	0	n
94	254	0	n
96	254	0	n
97	254	0	n
98	254	0	n
101	254	0	n
102	254	0	n
104	254	0	n
105	254	0	n
108	254	0	n
110	254	0	n
116	254	0	n
117	254	0	n
118	254	0	n
167	254	0	n
168	254	0	n
169	254	0	n
170	254	0	n
172	254	0	n
177	254	0	n
178	254	0	n
179	254	0	n
180	254	0	n
181	254	0	n
183	254	0	n
184	254	0	n
185	254	0	n
186	254	0	n
187	254	0	n
188	254	0	n
189	254	0	n
191	254	0	n
192	254	0	n
193	254	0	n
194	254	0	n
195	254	0	n
196	254	0	n
197	254	0	n
198	254	0	n
199	254	0	n
200	254	0	n
201	254	0	n
202	254	0	n
203	254	0	n
204	254	0	n
205	254	0	n
207	254	0	n
208	254	0	n
209	254	0	n
210	254	0	n
211	254	0	n
214	254	0	n
215	254	0	n
216	254	0	n
217	254	0	n
218	254	0	n
219	254	0	n
220	254	0	n
221	254	0	n
222	254	0	n
223	254	0	n
224	254	0	n
225	254	0	n
226	254	0	n
227	254	0	n
228	254	0	n
229	254	0	n
230	254	0	n
231	254	0	n
232	254	0	n
233	254	0	n
234	254	0	n
235	254	0	n
236	254	0	n
237	254	0	n
238	254	0	n
239	254	0	n
240	254	0	n
241	254	0	n
242	254	0	n
243	254	0	n
244	254	0	n
245	254	0	n
246	254	0	n
247	254	0	n
248	254	0	n
249	254	0	n
250	254	0	n
251	254	0	n
252	254	0	n
253	254	0	n
40	255	0	n
49	255	0	n
54	255	0	n
71	255	0	n
75	255	0	n
77	255	0	n
84	255	0	n
85	255	0	n
86	255	0	n
90	255	0	n
110	255	0	n
112	255	0	n
113	255	0	n
115	255	0	n
117	255	0	n
171	255	0	n
173	255	0	n
183	255	0	n
185	255	0	n
187	255	0	n
190	255	0	n
194	255	0	n
196	255	0	n
198	255	0	n
199	255	0	n
201	255	0	n
202	255	0	n
203	255	0	n
206	255	0	n
207	255	0	n
208	255	0	n
212	255	0	n
213	255	0	n
215	255	0	n
217	255	0	n
218	255	0	n
220	255	0	n
221	255	0	n
222	255	0	n
223	255	0	n
224	255	0	n
226	255	0	n
227	255	0	n
228	255	0	n
230	255	0	n
231	255	0	n
232	255	0	n
233	255	0	n
234	255	0	n
235	255	0	n
236	255	0	n
237	255	0	n
238	255	0	n
239	255	0	n
240	255	0	n
241	255	0	n
242	255	0	n
243	255	0	n
244	255	0	n
245	255	0	n
246	255	0	n
247	255	0	n
248	255	0	n
249	255	0	n
250	255	1	up
251	255	0	n
252	255	0	n
253	255	0	n
254	255	0	n
26	256	0	n
40	256	0	n
42	256	0	n
45	256	0	n
53	256	0	n
54	256	0	n
55	256	0	n
56	256	0	n
68	256	0	n
69	256	0	n
77	256	0	n
81	256	0	n
83	256	0	n
84	256	0	n
85	256	0	n
86	256	0	n
88	256	0	n
90	256	0	n
92	256	0	n
93	256	0	n
96	256	0	n
106	256	0	n
107	256	0	n
109	256	0	n
110	256	0	n
112	256	0	n
115	256	0	n
168	256	0	n
170	256	0	n
171	256	0	n
173	256	0	n
174	256	0	n
176	256	0	n
177	256	0	n
180	256	0	n
182	256	0	n
183	256	0	n
184	256	0	n
185	256	0	n
187	256	0	n
188	256	0	n
189	256	0	n
190	256	0	n
194	256	0	n
195	256	0	n
196	256	0	n
197	256	0	n
200	256	0	n
201	256	0	n
202	256	0	n
203	256	0	n
204	256	0	n
205	256	0	n
206	256	0	n
207	256	0	n
211	256	0	n
213	256	0	n
214	256	0	n
215	256	0	n
216	256	0	n
217	256	0	n
219	256	0	n
220	256	0	n
221	256	0	n
222	256	0	n
223	256	0	n
225	256	0	n
226	256	0	n
227	256	0	n
228	256	0	n
230	256	0	n
231	256	0	n
232	256	0	n
233	256	0	n
234	256	0	n
235	256	0	n
236	256	0	n
237	256	0	n
238	256	0	n
239	256	0	n
240	256	0	n
241	256	0	n
242	256	0	n
243	256	0	n
244	256	0	n
245	256	0	n
246	256	0	n
247	256	0	n
248	256	0	n
249	256	0	n
250	256	0	n
251	256	0	n
252	256	0	n
253	256	0	n
254	256	0	n
255	256	0	n
26	257	0	n
27	257	0	n
28	257	0	n
31	257	0	n
33	257	0	n
37	257	0	n
38	257	0	n
42	257	0	n
46	257	0	n
51	257	0	n
53	257	0	n
59	257	0	n
62	257	0	n
64	257	0	n
70	257	0	n
71	257	0	n
72	257	0	n
73	257	0	n
80	257	0	n
82	257	0	n
86	257	0	n
88	257	0	n
94	257	0	n
103	257	0	n
105	257	0	n
107	257	0	n
108	257	0	n
110	257	0	n
111	257	0	n
112	257	0	n
117	257	0	n
128	257	0	n
167	257	0	n
169	257	0	n
175	257	0	n
177	257	0	n
178	257	0	n
179	257	0	n
180	257	0	n
181	257	0	n
182	257	0	n
183	257	0	n
184	257	0	n
185	257	0	n
192	257	0	n
195	257	0	n
196	257	0	n
197	257	0	n
198	257	0	n
199	257	0	n
200	257	0	n
201	257	0	n
202	257	0	n
203	257	0	n
204	257	0	n
205	257	0	n
206	257	0	n
207	257	0	n
208	257	0	n
210	257	0	n
211	257	0	n
212	257	0	n
213	257	0	n
214	257	0	n
215	257	1	up
217	257	0	n
218	257	0	n
219	257	0	n
220	257	0	n
221	257	0	n
222	257	0	n
223	257	0	n
224	257	0	n
225	257	0	n
226	257	0	n
227	257	0	n
228	257	0	n
229	257	0	n
230	257	0	n
231	257	0	n
232	257	0	n
233	257	0	n
234	257	0	n
235	257	0	n
236	257	0	n
237	257	0	n
238	257	0	n
239	257	0	n
240	257	0	n
241	257	0	n
242	257	0	n
243	257	0	n
244	257	0	n
245	257	0	n
246	257	0	n
247	257	1	down
248	257	0	n
249	257	0	n
250	257	0	n
251	257	0	n
252	257	0	n
253	257	0	n
254	257	0	n
255	257	0	n
256	257	0	n
42	258	0	n
44	258	0	n
53	258	0	n
68	258	0	n
74	258	0	n
81	258	0	n
84	258	0	n
85	258	0	n
86	258	0	n
103	258	0	n
109	258	0	n
115	258	0	n
117	258	0	n
119	258	0	n
137	258	0	n
168	258	0	n
170	258	0	n
173	258	0	n
180	258	0	n
182	258	0	n
183	258	0	n
184	258	0	n
190	258	0	n
193	258	0	n
194	258	0	n
195	258	0	n
196	258	0	n
197	258	0	n
202	258	0	n
204	258	0	n
210	258	0	n
211	258	0	n
212	258	0	n
213	258	0	n
215	258	0	n
216	258	0	n
217	258	0	n
218	258	0	n
219	258	0	n
220	258	0	n
221	258	0	n
222	258	0	n
224	258	0	n
226	258	0	n
231	258	0	n
232	258	0	n
233	258	0	n
234	258	0	n
235	258	0	n
236	258	0	n
237	258	0	n
238	258	1	up
239	258	0	n
240	258	0	n
241	258	0	n
242	258	0	n
243	258	0	n
244	258	0	n
245	258	0	n
246	258	0	n
247	258	0	n
248	258	0	n
249	258	0	n
250	258	0	n
251	258	0	n
252	258	1	up
253	258	0	n
254	258	0	n
255	258	0	n
256	258	0	n
257	258	0	n
254	259	0	n
256	259	0	n
65	260	0	n
240	260	0	n
258	260	0	n
24	261	0	n
100	261	0	n
189	261	0	n
247	261	0	n
251	261	0	n
252	261	0	n
253	261	0	n
258	261	0	n
27	263	0	n
58	263	0	n
75	263	0	n
104	263	0	n
180	263	0	n
183	263	0	n
187	263	0	n
188	263	0	n
212	263	0	n
215	263	0	n
222	263	0	n
225	263	0	n
227	263	0	n
231	263	0	n
233	263	0	n
235	263	0	n
236	263	0	n
245	263	0	n
249	263	0	n
250	263	0	n
252	263	0	n
253	263	0	n
254	263	0	n
256	263	0	n
257	263	0	n
258	263	0	n
28	264	0	n
78	264	0	n
86	264	0	n
91	264	0	n
93	264	0	n
98	264	0	n
105	264	0	n
109	264	0	n
167	264	0	n
174	264	0	n
175	264	0	n
182	264	0	n
185	264	0	n
195	264	0	n
197	264	0	n
203	264	0	n
206	264	0	n
207	264	0	n
211	264	0	n
213	264	0	n
216	264	0	n
217	264	0	n
218	264	0	n
219	264	0	n
223	264	0	n
230	264	0	n
231	264	0	n
233	264	0	n
239	264	0	n
240	264	0	n
242	264	1	up
243	264	0	n
245	264	0	n
246	264	0	n
247	264	0	n
249	264	0	n
250	264	0	n
251	264	0	n
252	264	0	n
253	264	0	n
254	264	0	n
256	264	0	n
257	264	0	n
258	264	0	n
263	264	0	n
39	265	0	n
74	265	0	n
79	265	0	n
84	265	0	n
92	265	0	n
101	265	0	n
108	265	0	n
115	265	0	n
119	265	0	n
120	265	0	n
174	265	0	n
178	265	0	n
180	265	0	n
197	265	0	n
201	265	0	n
202	265	0	n
204	265	0	n
207	265	0	n
210	265	0	n
211	265	0	n
212	265	0	n
214	265	0	n
216	265	0	n
217	265	0	n
219	265	0	n
225	265	0	n
226	265	0	n
229	265	0	n
232	265	0	n
235	265	0	n
236	265	0	n
237	265	0	n
238	265	0	n
242	265	0	n
243	265	0	n
244	265	0	n
246	265	0	n
247	265	0	n
248	265	0	n
249	265	0	n
250	265	0	n
251	265	0	n
252	265	0	n
253	265	0	n
254	265	0	n
255	265	0	n
256	265	0	n
257	265	0	n
258	265	0	n
263	265	0	n
264	265	0	n
43	266	0	n
47	266	0	n
62	266	0	n
68	266	0	n
72	266	0	n
74	266	0	n
77	266	0	n
79	266	0	n
93	266	0	n
97	266	0	n
104	266	0	n
105	266	0	n
106	266	0	n
107	266	0	n
111	266	0	n
112	266	0	n
115	266	0	n
117	266	0	n
118	266	0	n
121	266	0	n
122	266	0	n
144	266	0	n
167	266	0	n
171	266	0	n
172	266	0	n
177	266	0	n
179	266	0	n
182	266	0	n
183	266	0	n
184	266	0	n
190	266	0	n
191	266	0	n
194	266	0	n
195	266	0	n
197	266	0	n
201	266	0	n
203	266	0	n
210	266	0	n
217	266	0	n
219	266	0	n
220	266	0	n
222	266	0	n
224	266	0	n
229	266	0	n
230	266	0	n
232	266	0	n
233	266	0	n
234	266	0	n
235	266	0	n
236	266	0	n
237	266	0	n
238	266	0	n
239	266	0	n
241	266	0	n
242	266	0	n
243	266	0	n
244	266	0	n
245	266	0	n
247	266	0	n
248	266	0	n
250	266	0	n
251	266	0	n
252	266	0	n
253	266	0	n
254	266	0	n
255	266	0	n
256	266	0	n
257	266	0	n
258	266	0	n
263	266	0	n
264	266	0	n
265	266	0	n
24	267	0	n
27	267	0	n
43	267	0	n
44	267	0	n
45	267	0	n
64	267	0	n
66	267	0	n
68	267	0	n
69	267	0	n
71	267	0	n
72	267	0	n
73	267	0	n
74	267	0	n
75	267	0	n
76	267	0	n
78	267	0	n
79	267	0	n
80	267	0	n
81	267	0	n
84	267	0	n
89	267	0	n
107	267	0	n
110	267	0	n
111	267	0	n
118	267	0	n
169	267	0	n
170	267	0	n
172	267	0	n
177	267	0	n
178	267	0	n
179	267	0	n
180	267	0	n
182	267	0	n
183	267	0	n
184	267	0	n
185	267	0	n
186	267	0	n
189	267	0	n
190	267	0	n
191	267	0	n
195	267	0	n
197	267	0	n
199	267	0	n
200	267	0	n
201	267	0	n
202	267	0	n
203	267	0	n
209	267	0	n
215	267	0	n
216	267	0	n
217	267	0	n
218	267	0	n
222	267	0	n
223	267	0	n
225	267	0	n
226	267	0	n
228	267	0	n
229	267	0	n
230	267	0	n
231	267	0	n
233	267	0	n
234	267	0	n
235	267	0	n
236	267	0	n
237	267	0	n
238	267	0	n
239	267	0	n
240	267	1	up
241	267	0	n
242	267	0	n
243	267	0	n
244	267	0	n
245	267	0	n
247	267	0	n
248	267	0	n
249	267	0	n
250	267	0	n
251	267	0	n
252	267	0	n
253	267	0	n
254	267	0	n
255	267	0	n
256	267	0	n
257	267	0	n
258	267	0	n
264	267	0	n
265	267	0	n
266	267	0	n
27	268	0	n
28	268	0	n
33	268	0	n
48	268	0	n
52	268	0	n
53	268	0	n
70	268	0	n
72	268	0	n
73	268	0	n
74	268	0	n
79	268	0	n
80	268	0	n
81	268	0	n
82	268	0	n
85	268	0	n
86	268	0	n
90	268	0	n
96	268	0	n
99	268	0	n
102	268	0	n
108	268	0	n
110	268	0	n
111	268	0	n
112	268	0	n
113	268	0	n
114	268	0	n
128	268	0	n
156	268	0	n
167	268	0	n
169	268	0	n
170	268	0	n
173	268	0	n
174	268	0	n
177	268	0	n
179	268	0	n
181	268	0	n
182	268	0	n
183	268	0	n
187	268	0	n
188	268	0	n
192	268	0	n
193	268	0	n
195	268	0	n
201	268	0	n
202	268	0	n
204	268	0	n
206	268	0	n
207	268	0	n
209	268	0	n
210	268	0	n
211	268	0	n
212	268	0	n
213	268	0	n
214	268	0	n
215	268	0	n
216	268	0	n
220	268	0	n
224	268	0	n
225	268	0	n
226	268	0	n
228	268	0	n
229	268	0	n
230	268	0	n
231	268	0	n
232	268	0	n
234	268	0	n
235	268	0	n
236	268	0	n
237	268	0	n
238	268	0	n
239	268	0	n
240	268	0	n
241	268	0	n
242	268	0	n
243	268	0	n
244	268	0	n
245	268	0	n
246	268	0	n
247	268	0	n
248	268	0	n
249	268	0	n
250	268	0	n
251	268	0	n
252	268	0	n
253	268	0	n
254	268	0	n
255	268	0	n
256	268	0	n
257	268	0	n
258	268	0	n
263	268	0	n
264	268	1	up
265	268	0	n
266	268	0	n
267	268	0	n
28	269	0	n
33	269	0	n
34	269	0	n
38	269	0	n
43	269	0	n
49	269	0	n
50	269	0	n
51	269	0	n
55	269	0	n
56	269	0	n
58	269	0	n
60	269	0	n
62	269	0	n
71	269	0	n
79	269	0	n
82	269	0	n
84	269	0	n
85	269	0	n
86	269	0	n
89	269	0	n
90	269	0	n
93	269	0	n
98	269	0	n
99	269	0	n
100	269	0	n
102	269	0	n
103	269	0	n
104	269	0	n
106	269	0	n
107	269	0	n
110	269	0	n
112	269	0	n
114	269	0	n
115	269	0	n
116	269	0	n
118	269	0	n
129	269	0	n
130	269	0	n
167	269	0	n
168	269	0	n
169	269	0	n
170	269	0	n
171	269	0	n
174	269	0	n
175	269	0	n
176	269	0	n
177	269	0	n
178	269	0	n
179	269	0	n
180	269	0	n
181	269	0	n
182	269	0	n
183	269	0	n
184	269	0	n
188	269	0	n
189	269	0	n
190	269	0	n
191	269	0	n
193	269	0	n
194	269	0	n
195	269	0	n
196	269	0	n
198	269	0	n
199	269	0	n
200	269	0	n
201	269	0	n
203	269	0	n
204	269	0	n
205	269	0	n
210	269	0	n
212	269	0	n
213	269	0	n
214	269	0	n
216	269	0	n
217	269	0	n
219	269	0	n
220	269	0	n
